Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
1/27/2022,12/31/2021,$1.89,$2.10
10/28/2021,9/30/2021,$1.24,$1.24
7/27/2021,6/30/2021,$1.00,$1.30
4/28/2021,3/31/2021,$1.00,$1.40
1/27/2021,12/31/2020,$1.41,$1.68
10/29/2020,9/30/2020,$0.69,$0.73
7/30/2020,6/30/2020,$0.51,$0.65
4/30/2020,3/31/2020,$0.52,$0.64
1/28/2020,12/31/2019,$1.14,$1.25
10/30/2019,9/30/2019,$0.71,$0.76
7/30/2019,6/30/2019,$0.53,$0.55
4/30/2019,3/31/2019,$0.59,$0.62
1/29/2019,12/31/2018,$1.04,$1.05
11/1/2018,9/30/2018,$0.70,$0.73
7/31/2018,6/30/2018,$0.54,$0.59
5/1/2018,3/31/2018,$0.67,$0.68
2/1/2018,12/31/2017,$0.96,$0.97
11/2/2017,9/30/2017,$0.47,$0.52
8/1/2017,6/30/2017,$0.39,$0.42
5/2/2017,3/31/2017,$0.51,$0.53
1/31/2017,12/31/2016,$0.81,$0.84
10/25/2016,9/30/2016,$0.42,$0.42
7/26/2016,6/30/2016,$0.35,$0.36
4/26/2016,3/31/2016,$0.49,$0.48
1/26/2016,12/31/2015,$0.81,$0.82
10/27/2015,9/30/2015,$0.47,$0.49
7/21/2015,6/30/2015,$0.45,$0.46
4/27/2015,3/31/2015,$0.55,$0.58
1/27/2015,12/31/2014,$0.65,$0.77